id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,ci_result,closure_time,comment_time,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,review_comments,effective_comments
4339,merged,0,6,0,6,583578.596,13,6,7,1031.752,1,0,0,14,0,39,39,0,0,1398.604,2,859,774,0,0,0,0,0,0
4338,merged,0,6,0,6,0,1,1,0,-6.312,0,0,0,1,0,3,3,0,0,107.453,1,714,805,0,0,0,0,0,0
4337,merged,4,13,0,9,4829952.695,20,9,11,7860855.49,1,0,0,68,0,60,60,0,0,7861068.044,2,265,21,0,0,0,0,0,0
4336,merged,0,6,0,6,583578.596,11,4,7,223.72,1,0,0,11,0,33,33,0,0,2268.864,2,805,714,0,0,0,0,0,0
4326,merged,0,9,0,9,0,10,10,0,518405.355,0,0,0,10,0,30,30,0,0,518793.938,2,139,140,0,0,0,0,0,0
4324,merged,3,11,0,8,776480.933,18,4,14,1811407.427,1,0,0,20,0,54,51,1,0,1811636.823,2,407,31,0,0,0,0,0,0
4317,merged,0,13,0,13,0,5,5,0,596482.219,0,0,0,9,0,15,15,0,0,597340.475,2,1294,1211,0,0,0,0,0,0
4299,merged,1,8,0,7,1295179.498,10,2,8,2413998.099,1,0,1893278.742,11,1892818.932,30,30,0,0,2414096.931,2,563,77,0,0,4,0,4,4
4296,merged,0,10,0,10,98684.178,16,11,5,612736.535,1,0,608271.969,41,607158.037,48,45,1,0,614356.694,2,139,88,0,0,4,0,4,4
4287,merged,1,8,0,7,607893.881,18,3,15,85806.728,1,0,64531.343,32,64531.343,54,44,4,0,86024.099,2,535,12,0,0,1,1,0,0
4275,merged,1,11,0,10,1294878.962,19,8,11,517932.578,1,0,0,20,0,57,57,0,0,518024.364,2,257,11,0,0,0,0,0,0
4273,merged,5,11,0,6,0,2,2,0,-135.208,0,0,0,6,0,6,6,0,0,515928.196,2,384,5,0,0,0,0,0,0
4270,merged,1,10,0,9,87231.49900000001,20,12,8,1809766.48,1,0,0,23,0,60,60,0,0,1810288.607,2,666,8,0,0,0,0,0,0
4249,merged,3,14,2,9,680136.239,20,11,9,1646299.568,1,0,0,25,0,60,54,2,0,1647856.914,2,1498,1459,0,0,0,0,0,0
4241,merged,1,9,0,8,80393.56599999999,20,12,8,1899949.584,1,0,0,27,0,60,51,3,0,1900344.401,2,196,40,0,0,0,0,0,0
4240,merged,0,10,0,10,0,1,1,0,84361.55,0,0,0,2,0,3,3,0,0,169847.794,2,59,85,0,0,0,0,0,0
4239,merged,0,7,0,7,0,7,7,0,691697.88,0,0,0,10,0,21,21,0,0,691839.15,2,33,45,0,0,0,0,0,0
4238,merged,2,9,0,7,437720.012,6,3,3,689855.251,1,0,0,6,0,18,18,0,0,690086.737,2,254,16,0,0,0,0,0,0
4237,merged,0,2,0,2,1032414.808,12,5,7,6747.29,1,0,0,13,0,36,33,1,0,9020.671,2,145,82,0,0,0,0,0,0
4236,merged,2,9,0,7,508621.945,7,1,6,508500.235,1,0,0,20,0,21,21,0,0,509994.029,2,234,176,0,0,0,0,0,0
4230,merged,1,4,0,3,0,5,5,0,98082.229,0,0,0,12,0,15,15,0,0,99104.703,2,143,3,0,0,0,0,0,0
